intl_gross,dom_gross,budget,runtime,num_theaters,num_days,genre,mpaa_rating,release_month,release_year,release_date
953717.0,953717.0,28456597.222222224,89.0,42.0,196.0,Documentary,PG,Oct,2017,2017-10-06
1281258.0,1281258.0,28456597.222222224,98.0,215.0,76.0,Drama,PG,Jun,2017,2017-06-02
2402067.0,2402067.0,28456597.222222224,125.0,115.0,80.0,Drama / Thriller,PG-13,Jan,2017,2017-01-27
335609.0,335609.0,28456597.222222224,104.0,13.0,136.0,Drama,Unrated,Oct,2017,2017-10-24
41681746.0,2402004.0,18000000.0,117.0,331.0,70.0,Crime Comedy,R,Mar,2017,2017-03-17
53913707.0,25113707.0,28456597.222222224,132.0,114.23131782945737,88.0,Crime,R,Dec,2017,2017-12-25
312242626.0,26830068.0,40000000.0,106.0,114.23131782945737,63.0,Sci-Fi Action,R,Jan,2017,2017-01-27
502941.0,359735.0,28456597.222222224,95.0,20.0,101.0,Documentary,Unrated,Jun,2017,2017-06-02
113231.0,113231.0,28456597.222222224,130.0,10.0,59.0,Drama,Unrated,Sep,2017,2017-09-22
101382.0,101382.0,28456597.222222224,93.0,8.0,105.0,Documentary,Unrated,Jun,2017,2017-06-16
6643.0,6643.0,28456597.222222224,104.0,1.0,70.0,Foreign,Unrated,Mar,2017,2017-03-10
12433.0,12433.0,28456597.222222224,123.0,5.0,91.0,Music Drama,Unrated,Oct,2017,2017-10-27
50511.0,50511.0,28456597.222222224,117.0,6.0,84.0,Drama,Unrated,Jun,2017,2017-06-23
81089.0,81089.0,28456597.222222224,106.0,9.0,91.0,Thriller,Unrated,Aug,2017,2017-08-11
107362.0,107362.0,28456597.222222224,118.0,13.0,105.0,Comedy / Drama,Unrated,May,2017,2017-05-05
729512.0,729512.0,28456597.222222224,89.0,36.0,147.0,Documentary,Unrated,Nov,2017,2017-11-24
20991.0,20991.0,28456597.222222224,98.0,4.0,98.0,Comedy,Not Yet Rated,May,2017,2017-05-12
7793.0,7793.0,28456597.222222224,93.0,20.0,7.0,Action Thriller,PG-13,Oct,2017,2017-10-06
12522.0,12522.0,28456597.222222224,105.0,14.0,3.0,Drama,R,Jul,2017,2017-07-14
25306.0,25306.0,28456597.222222224,100.0,6.0,37.0,Drama,Unrated,Jun,2017,2017-06-19
22815.0,22815.0,28456597.222222224,90.0,7.0,24.0,Drama / Thriller,R,Oct,2017,2017-10-06
13360765.492339807,7047336.599349186,28456597.222222224,91.0,114.23131782945737,53.0,Thriller,PG-13,Nov,2016,2016-11-11
9295441.197631735,3575180.2972413306,28456597.222222224,132.0,114.23131782945737,39.0,Drama / Thriller,R,Nov,2016,2016-11-25
34156960.0,5874.0,28456597.222222224,85.0,100.0,7.0,Animation,PG,Dec,2017,2017-12-01
3642.0,3642.0,28456597.222222224,83.0,2.0,76.31803628601921,Romance,Unrated,Jan,2017,2017-01-27
95952.0,95952.0,28456597.222222224,99.0,7.0,182.0,Foreign,Unrated,Jul,2017,2017-07-21
81345.0,81345.0,28456597.222222224,95.0,70.0,14.0,Documentary,G,Oct,2017,2017-10-06
107273.63918552376,107273.63918552376,28456597.222222224,106.0,6.0,222.0,Documentary,Unrated,Jul,2016,2016-07-06
62511.0,62511.0,28456597.222222224,118.0,20.0,76.31803628601921,Documentary,Unrated,Mar,2017,2017-03-10
60298.0,60298.0,28456597.222222224,115.0,2.0,35.0,Drama,Unrated,Jan,2017,2017-01-13
54174.0,54174.0,23000000.0,120.0,20.0,14.0,Action / Adventure,Not Yet Rated,Apr,2017,2017-04-07
422.0,422.0,28456597.222222224,99.0,3.0,7.0,Thriller,PG-13,Jun,2017,2017-06-30
46796.0,46796.0,28456597.222222224,112.0,11.0,17.0,Documentary,Unrated,Sep,2017,2017-09-08
95721320.0,100026.0,28456597.222222224,113.0,10.0,21.0,Comedy,Unrated,Jan,2017,2017-01-13
122700.0,122700.0,28456597.222222224,106.0,34.0,21.0,Action,Unrated,Nov,2017,2017-11-24
109593721.0,293194.0,28456597.222222224,99.0,55.0,21.0,Action Comedy,Unrated,Jan,2017,2017-01-27
151092784.0,471575.0,28456597.222222224,102.0,30.0,42.0,Comedy,Unrated,Feb,2017,2017-02-10
1891956.0,1891956.0,28456597.222222224,136.0,35.0,45.0,Drama,Unrated,Dec,2017,2017-12-15
25297.688817409493,25297.688817409493,28456597.222222224,82.0,9.0,76.31803628601921,Drama,Not Yet Rated,Nov,2016,2016-11-25
1110754.4163295238,1110754.4163295238,28456597.222222224,107.0,138.0,76.31803628601921,Drama,R,Oct,2016,2016-10-14
33125.0,33125.0,28456597.222222224,103.0,5.0,31.0,Drama,R,Jan,2017,2017-01-13
153289.49172315808,153289.49172315808,28456597.222222224,95.0,22.0,91.0,Documentary,PG,Nov,2016,2016-11-25
130634.93648101931,130634.93648101931,28456597.222222224,112.0,17.0,77.0,Fantasy Comedy,Unrated,Dec,2016,2016-12-09
3553436.7447616113,3553436.7447616113,28456597.222222224,116.0,194.0,147.0,Comedy / Drama,PG-13,Sep,2016,2016-09-30
603582.0,603582.0,28456597.222222224,117.0,44.0,98.0,Drama,Unrated,Jul,2017,2017-07-21
880883.0,880883.0,28456597.222222224,113.0,106.0,100.0,Foreign,PG-13,Mar,2017,2017-03-15
1865396.0,1865396.0,28456597.222222224,126.0,135.0,91.0,Drama,PG-13,Apr,2017,2017-04-14
72335056.31019096,446103.3459857421,28456597.222222224,124.0,39.0,56.0,Comedy / Drama,Unrated,Nov,2016,2016-11-18
89412590.51677659,2175139.609094735,28456597.222222224,118.0,36.0,196.0,Action Thriller,Unrated,Jul,2016,2016-07-22
