title,intl_gross,dom_gross,budget,runtime,num_theaters,num_days,director,genre,mpaa_rating,release_month,release_year,release_date,total_gross
T2: Trainspotting,41681746.0,2402004.0,18000000.0,117.0,331.0,70.0,Danny Boyle,Crime Comedy,R,Mar,2017,2017-03-17,42944914.0
Resident Evil: The Final Chapter,312242626.0,26830068.0,40000000.0,106.0,114.23131782945737,63.0,Paul W.S. Anderson,Sci-Fi Action,R,Jan,2017,2017-01-27,321391506.0
Baby Driver,226945087.0,107825862.0,34000000.0,112.0,114.23131782945737,114.0,Edgar Wright,Action / Crime,R,Jun,2017,2017-06-28,243722290.0
Hacksaw Ridge,179036915.64196044,68641418.07863937,40000000.0,131.0,114.23131782945737,126.0,Mel Gibson,Action Drama,R,Nov,2016,2016-11-04,207334152.64196044
Patriots Day,51626801.27696276,32565653.53643852,45000000.0,130.0,114.23131782945737,79.0,Peter Berg,Drama,R,Dec,2016,2016-12-21,60473803.27696276
John Wick: Chapter Two,171539887.0,92029184.0,30857482.18527316,122.0,114.23131782945737,77.0,Chad Stahelski,Action,R,Feb,2017,2017-02-10,201793213.0
La La Land,455595705.7412492,154320807.10712606,30000000.0,128.0,114.23131782945737,140.0,Damien Chazelle,Musical,PG-13,Dec,2016,2016-12-09,471828357.7412492
Wonder,300274326.0,132422809.0,30857482.18527316,113.0,114.23131782945737,126.0,Stephen Chbosky,Drama,PG,Nov,2017,2017-11-17,318804206.0
The Foreigner,145374099.0,34393507.0,35000000.0,114.0,114.23131782945737,70.0,Martin Campbell,Action Thriller,R,Oct,2017,2017-10-13,150685060.0
Valerian and the City of a Thousand Planets,225874228.0,41189488.0,30857482.18527316,137.0,114.23131782945737,76.31803628601921,Luc Besson,Sci-Fi,PG-13,Jul,2017,2017-07-21,236640479.0
A Bad Moms Christmas,130560428.0,72110659.0,28000000.0,104.0,114.23131782945737,72.0,"Jon Lucas,Scott Moore",Comedy,R,Nov,2017,2017-11-01,139289421.0
Nocturnal Animals,30957607.01912861,10890524.309040986,30857482.18527316,115.0,114.23131782945737,70.0,Tom Ford,Drama / Thriller,R,Nov,2016,2016-11-18,33272019.01912861
A Monster Calls,48317169.093234785,3820515.7922893916,30857482.18527316,108.0,114.23131782945737,35.0,J.A. Bayona,Fantasy Drama,PG-13,Dec,2016,2016-12-23,51464920.093234785
Atomic Blonde,95787870.0,51687870.0,30000000.0,115.0,114.23131782945737,70.0,David Leitch,Thriller,R,Jul,2017,2017-07-28,106871907.0
The Founder,24121245.0,12786053.0,30857482.18527316,115.0,114.23131782945737,99.0,John Lee Hancock,Drama,PG-13,Jan,2017,2017-01-19,26460324.0
The Nut Job 2: Nutty by Nature,65146020.0,28370522.0,40000000.0,91.0,114.23131782945737,49.0,Cal Brunker,Animation,PG,Aug,2017,2017-08-11,68711023.0
Jackie,14257799.886169987,14257799.886169987,30857482.18527316,95.0,508.0,140.0,Pablo Larrain,Drama,R,Dec,2016,2016-12-02,15559706.886169987
Logan Lucky,47570583.0,27780977.0,29000000.0,119.0,114.23131782945737,84.0,Steven Soderbergh,Action Comedy,PG-13,Aug,2017,2017-08-18,51367422.0
Manchester by the Sea,79192001.50262284,48711451.49733133,9000000.0,135.0,114.23131782945737,161.0,Kenneth Lonergan,Drama,R,Nov,2016,2016-11-18,82987737.50262284
Wish Upon,14301505.0,14301505.0,12000000.0,90.0,114.23131782945737,91.0,John R. Leonetti,Horror,PG-13,Jul,2017,2017-07-14,14862974.0
T2: Trainspotting,41681746.0,2402004.0,18000000.0,117.0,331.0,70.0,Danny Boyle,Crime Comedy,R,Mar,2017,2017-03-17,42944914.0
Resident Evil: The Final Chapter,312242626.0,26830068.0,40000000.0,106.0,114.23131782945737,63.0,Paul W.S. Anderson,Sci-Fi Action,R,Jan,2017,2017-01-27,321391506.0
Baby Driver,226945087.0,107825862.0,34000000.0,112.0,114.23131782945737,114.0,Edgar Wright,Action / Crime,R,Jun,2017,2017-06-28,243722290.0
Hacksaw Ridge,179036915.64196044,68641418.07863937,40000000.0,131.0,114.23131782945737,126.0,Mel Gibson,Action Drama,R,Nov,2016,2016-11-04,207334152.64196044
Patriots Day,51626801.27696276,32565653.53643852,45000000.0,130.0,114.23131782945737,79.0,Peter Berg,Drama,R,Dec,2016,2016-12-21,60473803.27696276
John Wick: Chapter Two,171539887.0,92029184.0,30857482.18527316,122.0,114.23131782945737,77.0,Chad Stahelski,Action,R,Feb,2017,2017-02-10,201793213.0
La La Land,455595705.7412492,154320807.10712606,30000000.0,128.0,114.23131782945737,140.0,Damien Chazelle,Musical,PG-13,Dec,2016,2016-12-09,471828357.7412492
Wonder,300274326.0,132422809.0,30857482.18527316,113.0,114.23131782945737,126.0,Stephen Chbosky,Drama,PG,Nov,2017,2017-11-17,318804206.0
The Foreigner,145374099.0,34393507.0,35000000.0,114.0,114.23131782945737,70.0,Martin Campbell,Action Thriller,R,Oct,2017,2017-10-13,150685060.0
Valerian and the City of a Thousand Planets,225874228.0,41189488.0,30857482.18527316,137.0,114.23131782945737,76.31803628601921,Luc Besson,Sci-Fi,PG-13,Jul,2017,2017-07-21,236640479.0
A Bad Moms Christmas,130560428.0,72110659.0,28000000.0,104.0,114.23131782945737,72.0,"Jon Lucas,Scott Moore",Comedy,R,Nov,2017,2017-11-01,139289421.0
Nocturnal Animals,30957607.01912861,10890524.309040986,30857482.18527316,115.0,114.23131782945737,70.0,Tom Ford,Drama / Thriller,R,Nov,2016,2016-11-18,33272019.01912861
A Monster Calls,48317169.093234785,3820515.7922893916,30857482.18527316,108.0,114.23131782945737,35.0,J.A. Bayona,Fantasy Drama,PG-13,Dec,2016,2016-12-23,51464920.093234785
Atomic Blonde,95787870.0,51687870.0,30000000.0,115.0,114.23131782945737,70.0,David Leitch,Thriller,R,Jul,2017,2017-07-28,106871907.0
The Founder,24121245.0,12786053.0,30857482.18527316,115.0,114.23131782945737,99.0,John Lee Hancock,Drama,PG-13,Jan,2017,2017-01-19,26460324.0
The Nut Job 2: Nutty by Nature,65146020.0,28370522.0,40000000.0,91.0,114.23131782945737,49.0,Cal Brunker,Animation,PG,Aug,2017,2017-08-11,68711023.0
Jackie,14257799.886169987,14257799.886169987,30857482.18527316,95.0,508.0,140.0,Pablo Larrain,Drama,R,Dec,2016,2016-12-02,15559706.886169987
