title,budget,dom_gross,intl_gross,disc_gross,release_date
Valerian and the City of a Thousand Planets (2017),"$180,000,000","$40,479,370","$215,116,144","$10,766,251","July 21st, 2017 (Wide) by "
Gods of Egypt (2016),"$140,000,000","$31,153,464","$133,553,464","$16,146,559","February 26th, 2016 (Wide) by "
The Divergent Series: Insurgent (2015),"$110,000,000","$130,179,072","$295,279,072","$35,099,488","March 20th, 2015 (Wide) by "
The Expendables 3 (2014),"$100,000,000","$39,322,544","$209,461,378","$27,073,145","August 15th, 2014 (Wide) by "
The Expendables (2010),"$82,000,000","$103,068,524","$268,268,174","$72,662,317","August 13th, 2010 (Wide) by "
The Legend of Hercules (2014),"$70,000,000","$18,848,538","$58,953,319","$12,635,439","January 10th, 2014 (Wide) by "
The Hateful Eight (2015),"$62,000,000","$54,117,416","$145,443,360","$24,177,293","December 25th, 2015 (Limited) by "
Mortdecai (2015),"$60,000,000","$7,696,134","$30,396,134","$2,625,060","January 23rd, 2015 (Wide) by "
Knowing (2009),"$50,000,000","$79,957,634","$186,450,317","$27,621,925","March 20th, 2009 (Wide) by "
The Infiltrator (2016),"$47,500,000","$15,436,808","$18,329,653","$1,418,602","July 13th, 2016 (Wide) by "
Patriots Day (2016),"$40,000,000","$31,886,361","$52,461,361","$8,847,002","December 21st, 2016 (Limited) by "
Push (2009),"$38,000,000","$31,811,527","$44,411,527","$19,693,906","February 6th, 2009 (Wide) by "
The Foreigner (2017),"$35,000,000","$34,393,507","$140,783,646","$5,310,961","October 13th, 2017 (Wide) by "
The Big Wedding (2013),"$32,500,000","$21,819,348","$48,425,971","$5,456,339","April 26th, 2013 (Wide) by "
Atomic Blonde (2017),"$30,000,000","$51,573,925","$98,368,372","$11,084,037","July 28th, 2017 (Wide) by "
Southpaw (2015),"$30,000,000","$52,421,953","$94,207,861","$8,754,442","July 24th, 2015 (Wide) by "
Letters to Juliet (2010),"$30,000,000","$53,032,453","$82,148,538","$35,772,555","May 14th, 2010 (Wide) by "
Midnight in Paris (2011),"$30,000,000","$56,816,662","$162,802,711","$24,038,091","May 20th, 2011 (Limited) by "
The Nut Job (2014),"$30,000,000","$64,251,538","$122,529,966","$23,096,664","January 17th, 2014 (Wide) by "
Warm Bodies (2013),"$30,000,000","$66,380,662","$115,121,608","$14,317,598","February 1st, 2013 (Wide) by "
Looper (2012),"$30,000,000","$66,486,205","$170,466,405","$32,715,918","September 28th, 2012 (Wide) by "
District 9 (2009),"$30,000,000","$115,646,235","$212,453,431","$58,058,381","August 14th, 2009 (Wide) by "
Lee Daniels' The Butler (2013),"$30,000,000","$116,632,095","$177,025,498","$32,934,546","August 16th, 2013 (Wide) by "
The Vow (2012),"$30,000,000","$125,014,030","$197,618,160","$35,557,193","February 10th, 2012 (Wide) by "
Extraordinary Measures (2010),"$31,000,000","$12,482,741","$15,826,984","$7,499,655","January 22nd, 2010 (Wide) by "
The Grand Budapest Hotel (2014),"$31,000,000","$59,076,019","$164,350,409","$10,056,301","March 7th, 2014 (Limited) by "
Source Code (2011),"$32,000,000","$54,712,227","$140,428,499","$18,671,008","April 1st, 2011 (Wide) by "
Takers (2010),"$32,000,000","$57,744,720","$70,587,268","$23,534,126","August 27th, 2010 (Wide) by "
Baby Driver (2017),"$34,000,000","$107,825,862","$228,104,185","$16,777,203","June 28th, 2017 (Wide) by "
The Darkest Hour (2011),"$34,800,000","$21,443,494","$62,831,715","$9,323,610","December 25th, 2011 (Wide) by "
A Hologram for the King (2016),"$35,000,000","$4,212,494","$11,848,058","$1,459,812","April 22nd, 2016 (Limited) by "
Biutiful (2011),"$35,000,000","$5,101,237","$24,687,524","$3,028,630","January 21st, 2010 (Special Engagement) by "
Punisher: War Zone (2008),"$35,000,000","$8,050,977","$10,157,534","$13,688,214","December 5th, 2008 (Wide) by "
Mandela: Long Walk to Freedom (2013),"$35,000,000","$8,323,085","$29,890,402","$3,296,399","November 29th, 2013 (Wide) by "
The Walk (2015),"$35,000,000","$10,161,183","$61,197,045","$2,620,634","September 30th, 2015 (IMAX) by "
The Young Victoria (2009),"$35,000,000","$11,001,272","$31,878,891","$7,808,432","December 18th, 2009 (Limited) by "
Parker (2013),"$35,000,000","$17,616,641","$48,543,388","$11,075,708","January 25th, 2013 (Wide) by "
Furry Vengeance (2010),"$35,000,000","$17,630,465","$39,340,177","$7,812,831","April 30th, 2010 (Wide) by "
Alex Cross (2012),"$35,000,000","$25,888,412","$35,426,759","$16,064,151","October 19th, 2012 (Wide) by "
Abduction (2011),"$35,000,000","$28,087,155","$86,648,359","$10,165,832","September 23rd, 2011 (Wide) by "
Friends with Benefits (2011),"$35,000,000","$55,802,754","$146,595,891","$28,583,314","July 22nd, 2011 (Wide) by "
Hot Tub Time Machine (2010),"$36,000,000","$50,269,859","$65,967,750","$32,792,676","March 26th, 2010 (Wide) by "
