title,distributor,dom_gross,intl_gross,release_date,genre,runtime,mpaa_rating,budget,num_theaters,num_days,director,actors
Faces Places,Cohen Media Group,"$953,717","$953,717","October 6, 2017",Documentary,1 hrs. 29 min.,PG,N/A, 42 theaters, 196 days / 28 weeks,,
Churchill,Cohen Media Group,"$1,281,258","$1,281,258","June 2, 2017",Drama,1 hrs. 38 min.,PG,N/A, 215 theaters, 76 days / 10.9 weeks,,"Brian Cox,John Slattery"
The Salesman,Cohen Media Group,"$2,402,067","$2,402,067","January 27, 2017",Drama / Thriller,2 hrs. 5 min.,PG-13,N/A, 115 theaters, 80 days / 11.4 weeks,,
Queen of Katwe,Buena Vista,"$8,874,389","$10,367,161","September 23, 2016",Sports Drama,2 hrs. 4 min.,PG,$15 million," 1,259 theaters", 105 days / 15 weeks,Mira Nair,"Lupita Nyong'o,David Oyelowo"
Doctor Strange,Buena Vista,"$232,641,920","$677,718,395","November 4, 2016",Action / Adventure,1 hrs. 55 min.,PG-13,$165 million," 3,882 theaters", 133 days / 19 weeks,Scott Derrickson,"Benedict Cumberbatch,Tilda Swinton,Chiwetel Ejiofor,Rachel McAdams,Mads Mikkelsen"
Born in China,Buena Vista,"$13,873,211","$25,081,168","April 21, 2017",Documentary,1 hrs. 16 min.,G,N/A," 1,508 theaters", 77 days / 11 weeks,,John Krasinski*
Moana,Buena Vista,"$248,757,044","$643,331,111","November 23, 2016",Animation,1 hrs. 43 min.,PG,N/A," 3,875 theaters", 156 days / 22.3 weeks,,"Dwayne Johnson,Jemaine Clement"
"Rogue One:,A Star Wars Story",Buena Vista,"$532,177,324","$1,056,057,273","December 16, 2016",Sci-Fi Adventure,2 hrs. 13 min.,PG-13,$200 million," 4,157 theaters", 140 days / 20 weeks,Gareth Edwards,"Felicity Jones,Mads Mikkelsen,Alan Tudyk,Donnie Yen,Forest Whitaker,Diego Luna,Anthony Daniels*"
Cars 3,Buena Vista,"$152,901,115","$383,898,278","June 16, 2017",Animation,1 hrs. 42 min.,G,N/A," 4,256 theaters", 140 days / 20 weeks,,"Owen Wilson,Chris Cooper,Larry the Cable Guy,Armie Hammer,Bonnie Hunt"
"Pirates of the Caribbean:,Dead Men Tell No Tales",Buena Vista,"$172,558,876","$794,861,794","May 26, 2017",Period Adventure,2 hrs. 9 min.,PG-13,$230 million," 4,276 theaters", 119 days / 17 weeks,"Joachim Ronning,Espen Sandberg","Johnny Depp,Javier Bardem,Brenton Thwaites,Geoffrey Rush,Orlando Bloom"
Coco,Buena Vista,"$209,693,761","$794,840,924","November 22, 2017",Animation,1 hrs. 49 min.,PG,N/A," 3,987 theaters", 149 days / 21.3 weeks,Lee Unkrich,"Gael Garcia Bernal,Benjamin Bratt"
"Thor:,Ragnarok",Buena Vista,"$315,058,289","$853,971,376","November 3, 2017",Action / Adventure,2 hrs. 10 min.,PG-13,$180 million," 4,080 theaters", 133 days / 19 weeks,Taika Waititi,"Chris Hemsworth,Mark Ruffalo,Cate Blanchett,Jeff Goldblum,Tessa Thompson,Karl Urban,Anthony Hopkins,Tom Hiddleston,Idris Elba,Benedict Cumberbatch"
Guardians of the Galaxy Vol. 2,Buena Vista,"$389,813,101","$863,756,051","May 5, 2017",Action / Adventure,2 hrs. 17 min.,PG-13,$200 million," 4,347 theaters", 140 days / 20 weeks,James Gunn,"Michael Rooker,Chris Pratt,Zoe Saldana,Dave Bautista,Vin Diesel,Bradley Cooper,Karen Gillan,Elizabeth Debicki,Kurt Russell,Sylvester Stallone"
Beauty and the Beast (2017),Buena Vista,"$504,014,165","$1,263,521,126","March 17, 2017",Fantasy,2 hrs. 9 min.,PG,$160 million," 4,210 theaters", 119 days / 17 weeks,Bill Condon,"Emma Watson,Luke Evans,Emma Thompson,Kevin Kline,Dan Stevens,Ewan McGregor,Stanley Tucci,Ian McKellen,Josh Gad"
"Star Wars:,The Last Jedi",Buena Vista,"$620,181,382","$1,332,706,452","December 15, 2017",Sci-Fi Fantasy,2 hrs. 31 min.,PG-13,N/A," 4,232 theaters", 126 days / 18 weeks,Rian Johnson,"Mark Hamill,Carrie Fisher,Daisy Ridley,John Boyega,Oscar Isaac,Lupita Nyong'o,Andy Serkis,Anthony Daniels,Benicio Del Toro"
God's Own Country,Orion Pictures,"$335,609","$335,609","October 24, 2017",Drama,1 hrs. 44 min.,Unrated,N/A, 13 theaters, 136 days / 19.4 weeks,,
CHiPs,Warner Bros.,"$18,600,152","$26,800,152","March 24, 2017",Action Comedy,1 hrs. 40 min.,R,$25 million," 2,464 theaters", 63 days / 9 weeks,,Adam Brody
The House,Warner Bros. (New Line),"$25,584,504","$34,184,504","June 30, 2017",Comedy,1 hrs. 28 min.,R,$40 million," 3,134 theaters", 63 days / 9 weeks,Andrew J. Cohen,Will Ferrell
Fist Fight,Warner Bros. (New Line),"$32,187,017","$41,087,017","February 17, 2017",Comedy,1 hrs. 31 min.,R,N/A," 3,185 theaters", 56 days / 8 weeks,,"Ice Cube,Charlie Day,Tracy Morgan,Dean Norris"
Geostorm,Warner Bros.,"$33,700,160","$221,600,160","October 20, 2017",Action,1 hrs. 49 min.,PG-13,$120 million," 3,246 theaters", 84 days / 12 weeks,Dean Devlin,Gerard Butler
